Product_Weight,Product_Allocated_Area,Product_MRP,Store_Age,Product_Sugar_Content,Store_Id,Store_Size,Store_Location_City_Type,Store_Type,Product_Category,Product_Id
11.03,0.185,183.66,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4956
10.76,0.035,138.59,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD6988
13.06,0.112,87.14,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD7128
13.27,0.069,194.1,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD5014
10.92,0.295,157.14,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD6279
12.31,0.067,172.49,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4707
15.71,0.063,148.95,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD5978
11.81,0.07,128.82,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4228
12.69,0.076,155.65,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4309
11.33,0.03,145.97,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD618
15.8,0.09,183.34,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD694
9.52,0.076,128.96,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD6633
13.39,0.04,196.18,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD5375
13.26,0.01,180.65,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC8597
17.24,0.069,224.3,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Beverages,DR7097
9.19,0.133,119.26,27,No Sugar,OUT002,Small,Tier 3,Food Mart,Non-Consumable,NC7363
10.77,0.014,129.05,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1298
11.62,0.055,156.79,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1057
11.23,0.067,148.57,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1761
12.53,0.153,138.85,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3243
15.76,0.036,147.44,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD6483
13.08,0.079,168.87,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD2592
9.75,0.009,116.15,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD6587
13.55,0.029,147.92,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD1719
10.15,0.016,104.0,27,No Sugar,OUT002,Small,Tier 3,Food Mart,Non-Consumable,NC6521
13.38,0.025,145.21,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD7688
